"There is no sample file for this entity.","There is no sample file for this entity."
"Import tracking numbers","Import tracking numbers"
"Something went wrong while updating the product(s) data.","Something went wrong while updating the product(s) data."
"Invoice created","Invoice created"
"The order no longer exists.","The order no longer exists."
"The order does not allow an invoice to be created.","The order does not allow an invoice to be created."
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"We can't send the invoice email right now.","We can't send the invoice email right now."
"Can not invoice order #%1: %2","Can not invoice order #%1: %2"
"Total of %1 order(s) have been successfully invoiced.","Total of %1 order(s) have been successfully invoiced."
"Shipment created","Shipment created"
"We can't save the shipment right now.","We can't save the shipment right now."
"Can not ship order #%1: %2","Can not ship order #%1: %2"
"Total of %1 order(s) have been successfully shipped.","Total of %1 order(s) have been successfully shipped."
"Status changed","Status changed"
"Selected status does not correspond to the state of order.","Selected status does not correspond to the state of order."
"Can not update order #%1: %2","Can not update order #%1: %2"
"Total of %1 order(s) have been successfully updated.","Total of %1 order(s) have been successfully updated."
Custom,Custom
Invoice,Invoice
"Invoice > Ship","Invoice > Ship"
Ship,Ship
"Change Status","Change Status"
"Update Order Attributes","Update Order Attributes"
Add/Update,Add/Update
Delete,Delete
"Do not request Capture Case","Do not request Capture Case"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Magento Default","Magento Default"
Carrier:,Carrier:
Title:,Title:
"Tracking Number","Tracking Number"
"Tracking Number:","Tracking Number:"
"Shipment is already created.","Shipment is already created."
"The Order can not be transferred to the Shipment.","The Order can not be transferred to the Shipment."
"Order is canceled.","Order is canceled."
"Mass Order Actions","Mass Order Actions"
General,General
"Enabled Actions","Enabled Actions"
"Press CTRL+ left mouse button to select multiple values.
                    To use ""Update Order Attributes"" action please install <a href=""https://amasty.com/order-attributes-for-magento-2.html"">Amasty Order Attributes</a> extension v2.2.0 or higher","Press CTRL+ left mouse button to select multiple values.
                    To use ""Update Order Attributes"" action please install <a href=""https://amasty.com/order-attributes-for-magento-2.html"">Amasty Order Attributes</a> extension v2.2.0 or higher"
"Invoice Action","Invoice Action"
"Assign Status","Assign Status"
"Print Invoices","Print Invoices"
"Requested Payment Capture Case","Requested Payment Capture Case"
"Default Payment Capture Case for Invoicing Orders","Default Payment Capture Case for Invoicing Orders"
"Ship Action","Ship Action"
"Default Carrier","Default Carrier"
"Will be pre-selected at the orders grid.","Will be pre-selected at the orders grid."
"Default Title for Custom Carrier","Default Title for Custom Carrier"
"Show Custom Carrier Title at the Order Grid","Show Custom Carrier Title at the Order Grid"
Status,Status
"Check State","Check State"
"Disallow to set status, which assigned to other state.","Disallow to set status, which assigned to other state."
"Excluded options for the 'Change status' action","Excluded options for the 'Change status' action"
"Do not select any statuses to make all options available on the Order grid.","Do not select any statuses to make all options available on the Order grid."
-------------------,-------------------
"Notify Customer","Notify Customer"
"Do Not Notify Customer","Do Not Notify Customer"
"Change status to: ","Change status to: "
amasty_oaction_status_select,amasty_oaction_status_select
"Change Status for selected items?","Change Status for selected items?"
"Update Order Attributes for selected items?","Update Order Attributes for selected items?"
Shipping,Shipping
